ts,ad_id,model_key,price,condition,extras,location,title
2026-09-13T15:04:45+00:00,3511881950,ps5_disc,550,gebraucht,1,92237 Sulzbach-Rosenberg,Sony PlayStation 5 Konsole mit 2 Controllern
2026-09-13T15:04:45+00:00,3511879907,ps5_slim,499,gebraucht,0,45772 Marl,PlayStation 5 Slim
2026-09-13T15:04:45+00:00,3511878217,ps5_disc,439,gebraucht,0,20095 Hamburg Altstadt,Sony PS5 Disc - Original 667 GB Weiß SEHR GUT
2026-09-13T15:04:52+00:00,3511842799,switch_oled,259,neu,3,13055 Hohenschönhausen,"Nintendo Switch OLED OVP + Ring-Con + Ring Fit Adventure, 9 Spiel"
2026-09-13T15:04:52+00:00,3511883546,switch_lite,150,gebraucht,0,23566 Lübeck,Nintendo Switch Lite mit Animal Crossing
2026-09-13T15:04:52+00:00,3511883999,switch_oled,180,gebraucht,0,22145 Hamburg-Nord,Nintendo Switch OLED
2026-09-13T15:04:52+00:00,3511883337,switch_lite,120,gebraucht,0,31020 Salzhemmendorf,Nintendo Switch Lite inklusive Netzteil und Schale
2026-09-13T15:04:52+00:00,3511883477,switch2,400,gebraucht,0,15230 Frankfurt (Oder),Nintendo Switch 2
2026-09-13T15:04:52+00:00,3511883366,switch,175,neu,0,23554 St. Lorenz Nord,Nintendo Switch 1
2026-09-13T15:04:52+00:00,3511882454,switch_oled,165,neu,0,34329 Nieste,"Nintendo Switch OLED, mit Tasche und OVP"
2026-09-13T15:04:52+00:00,3511882393,switch_oled,200,neu,0,58453 Witten,Nintendo Switch Oled
2026-09-13T15:04:52+00:00,3511880238,switch,200,gebraucht,0,42109 Elberfeld,Nintendo Switch Fortnite Edition
2026-09-13T15:04:52+00:00,3511877727,switch_oled,250,gebraucht,0,97904 Dorfprozelten,Nintendo Switch OLED Modell mit Zubehör & Mario Kart 8
2026-09-13T15:08:07+00:00,3511888876,ps5_slim,500,gebraucht,1,64625 Bensheim,PS5 Slim Disc Edition 1TB + 2 DualSense Controller + Kabel
2026-09-13T15:08:07+00:00,3511888596,ps5_disc,350,neu,0,26382 Wilhelmshaven,PlayStation 5 Disc Version
2026-09-13T15:08:07+00:00,3511887439,ps5_disc,550,gebraucht,0,99869 Drei Gleichen,Playstation 5 Fat Disc Edition / Firmware 10.01 / Jailbreak
2026-09-13T15:08:07+00:00,3511884991,ps5_pro,620,neu,0,92224 Amberg,"PlayStation 5 Pro 2TB + Disc-Laufwerk + Zubehör, OVP, wie neu"
2026-09-13T15:08:14+00:00,3511889765,switch,400,gebraucht,0,46414 Rhede,Nintendo Switch mit vielen Teilen
2026-09-13T15:08:14+00:00,3511888897,switch_oled,250,neu,0,99444 Blankenhain,Nintendo Switch OLED Weiß + 2 Spiele + OVP
2026-09-13T15:08:14+00:00,3511888466,switch,190,gebraucht,0,90409 Nordstadt,Nintendo Switch grau mit komplettem Zubehör
2026-09-13T15:08:14+00:00,3511887333,switch,295,gebraucht,0,76287 Rheinstetten,Nintendo Switch Komplettset inkl. Originalzubehör und 2 Spielen
2026-09-13T15:08:14+00:00,3511885456,switch2,430,gebraucht,0,45768 Marl,Nintendo switch 2 mit Tomodachi Life
2026-09-13T15:08:14+00:00,3511884663,switch_oled,249,gebraucht,0,22043 Hamburg Jenfeld,Nintendo Switch OLED inkl.2 Spiele + Tasche
2026-09-13T15:08:20+00:00,3511887096,steamdeck_oled,600,neu,0,33604 Bielefeld (Innenstadt),"Steam Deck OLED 512GB, sehr gut, OVP + Zubehör"
2026-09-13T15:11:35+00:00,3511896098,switch_lite,139,gebraucht,0,66440 Blieskastel,Nintendo Switch Lite Türkis (SET)
2026-09-13T15:11:38+00:00,3511890231,xbox_series_x,415,neu,0,53332 Bornheim,Xbox Series X inkl. Controller mit TMR-Umbau
2026-09-13T15:14:56+00:00,3511899478,ps5_slim,439,neu,0,27232 Sulingen,PlayStation 5 Slim Edition
2026-09-13T15:15:03+00:00,3511902381,switch,190,gebraucht,0,25462 Rellingen,Nintendo Switch mit Zubehör und Tasche
2026-09-13T15:15:03+00:00,3511900158,switch,175,gebraucht,1,31249 Hohenhameln,Nintendo Switch mit 4 spielen
2026-09-13T15:15:03+00:00,3511899589,switch_oled,245,gebraucht,1,27578 Bremerhaven,Nintendo Switch OLED + 4 Spiele
2026-09-13T15:15:03+00:00,3511898271,switch,170,gebraucht,0,26725 Emden,Nintendo Switch Konsole
2026-09-13T15:15:03+00:00,3511898140,switch,180,gebraucht,0,51688 Wipperfürth,Nintendo Switch Mario Red & Blue Edition im Set
